code,Category,Name,"Long Description","Cost Per Unit",Quantity,"Unit of measure","Total Cost",RETAIL,WHOLESALE,REGULAR,"Vat Status",Availability
225889366,"Spoon &amp; Fork","BNW Fork Medium White (25pcs)","BNW Fork Medium White (25pcs)",11.28349,10,each,112.8349,15,0,0,yes,Available
168774380,"Spoon &amp; Fork","BNW Spoon Medium White 1kg","BNW Spoon Medium White 1kg",10.5,,each,0,15,0,0,yes,Available
385024086,Equipment,"Bottle Puncher","Bottle Puncher",0,,each,0,0,0,0,no,Available
1177966452,"Cup Lids","Bowl Lid 220cc (50pcs)","Bowl Lid 220cc (50pcs)",40.19882,107,each,4301.27374,53,0,0,yes,Available
1025258171,"Cup Lids","Bowl Lid 390cc ( 50pcs)","Bowl Lid 390cc ( 50pcs)",45.94151,-10,each,0,58,0,0,yes,Available
71453979,Flour,"Bread Flour 1kg","Bread Flour 1kg",31.6,,each,0,45,0,0,yes,Available
98484126,Machines,"Breville Bambino Plus","Breville Bambino Plus",26000,0,piece,0,30000,0,0,yes,Available
750561010,Machines,"Breville The Barista Pro","Breville The Barista Pro Brushed",46000,0,piece,0,52000,0,0,yes,Available
61730625,"Baking Supply","Brown Sugar 500g","Brown Sugar 500g",18.1,0,pack,0,21,0,0,yes,Available
33824116,Stocks,"Brown sugar 5g (100s)","Brown sugar 5g (100s)",93,-7,piece,0,150,0,0,yes,Available
645865410,Stocks,"Bubble Tapioca Pearl (1kgx24kg)","Bubble Tapioca Pearl (1kgx24kg)",75,5,piece,375,105,0,0,yes,Available
64412191,"Plastic Cups/Lids","Buco Juice Cups with Lids 12oz  (100pcsx5pcks)","Buco Juice Cups with Lids 12oz (100pcsx5pcks) ",203,37,piece,7511,240,0,0,yes,Available
428402556,"Paper Cups","Budget Cups Diamond/Heart 6.5oz (50pcs)","Budget Cups Diamond/Heart 6.5oz (50pcs)",27.499967902017,423,pack,11632.486422553,40,0,0,yes,Available
8801118573828,"Whipping Cream","Bunge Non-Dairy Whip Topping (1liter)","Bunge Non-Dairy Whip Topping (1liter)",180.80182935292,38,each,6870.469515411,250,0,0,yes,Available
268826018,"Cake Boards","Cake Board 10&quot; (RO)","Cake Board 10&quot; (RO)",0,,each,0,0,0,0,no,Available
594044047,"Cake Boards","Cake Board 10x10 (Sq)","Cake Board 10x10 (Sq)",0,,each,0,0,0,0,no,Available
246534304,"Cake Boards","Cake Board 12&quot; (RO)","Cake Board 12&quot; (RO)",0,,each,0,0,0,0,no,Available
455714926,"Cake Boards","Cake Board 12x12 (Sq)","Cake Board 12x12 (Sq)",0,,each,0,0,0,0,no,Available
530864109,"Cake Boards","Cake Board 6&quot; (RO)","Cake Board 6&quot; (RO)",0,,each,0,0,0,0,no,Available
822905642,"Cake Boards","Cake Board 8&quot; (RO)","Cake Board 8&quot; (RO)",0,,each,0,0,0,0,no,Available
181667425,"Cake Boards","Cake Board 9&quot; (RO)","Cake Board 9&quot; (RO)",0,,each,0,0,0,0,no,Available
1035460145,"Cake Boards","Cake Box  12x12x5","Cake Box  12x12x5",30,,each,0,35,0,0,yes,Available
114511127,"Cake Boxes","Cake Box 10x10x2 (plain white)","Cake Box 10x10x2 (plain white)",12,0,each,0,15,0,0,yes,Available
1078236136,"Cake Boards","Cake Box 10x10x5 (kraft)","Cake Box 10x10x5 (kraft)",20.5,0,each,0,28,0,0,yes,Available
303609124,"Cake Boards","Cake Box 10x10x5- Printed","Cake Box 10x10x5- Printed",0,-1,each,0,0,0,0,no,Available
776916430,"Cake Boards","Cake Box 12x12x5","Cake Box 12x12x5",30,,each,0,35,0,0,yes,Available
560345402,"Cake Boxes","Cake Box 12x12x5 Printed","Cake Box 12x12x5 Printed",0,,each,0,0,0,0,no,Available
613002045,"Cake Boxes","Cake Box 14x18x5","Cake Box 14x18x5",33,0,each,0,40,0,0,yes,Available
1189293052,"Cake Boxes","Cake Box 6x6x3","Cake Box 6x6x3",0,,each,0,0,0,0,no,Available
890262766,"Cake Boxes","Cake Box 8x8x4","Cake Box 8x8x4",0,,each,0,0,0,0,no,Available
553677971,"Cake Boxes","Cake Box 8x8x5","Cake Box 8x8x5",18,,each,0,25,0,0,yes,Available
229263247,"Cake Boxes","Cake Box 9x9x2","Cake Box 9x9x2",0,-85,each,0,0,0,0,no,Available
248060584,"Cake Boxes","Cake Box 9x9x2 (plain white)","Cake Box 9x9x2 (plain white)",9.5,-5,each,0,12,0,0,yes,Available
23304987,"Packaging &amp; Containers","Cake Box 9x9x2 Bottom/Top","Cake Box 9x9x2 Bottom/Top",12,109,piece,1308,15,0,0,yes,Available
773422054,"Cake Boxes","Cake Roll Box- Half Roll","Cake Roll Box- Half Roll",0,,each,0,0,0,0,yes,Available
612881549,"Cake Boxes","Cake Roll Box- Whole roll","Cake Roll Box- Whole roll",0,,each,0,0,0,0,no,Available
605932961,"Cake Boards","Cakeboard 10&quot; round","Cakeboard 10&quot; round",10,,each,0,13,0,0,yes,Available
1132178067,"Cake Boards","Cakeboard 10x14 scallop rectangular","Cakeboard 10x14 scallop rectangular",12.9,23,each,296.7,17,0,0,yes,Available
42631132,Services,"Calling Card Printing","Calling Card Printing",0,0,pack,0,100,0,0,yes,Available
4800575883000,Stocks,"Carnation Evap Creamer (370ml)","Carnation Evap Creamer (370ml)",35.05,0,each,0,45,0,0,yes,Available
34867587,Stocks,"Casa Bamvina Champo Cocoa Mix (200g x 50pcks)","Casa Bamvina Champorado Cocoa Mix (200g x 50pcks)",41.6,-5,piece,0,55,0,0,yes,Available
4806533700099,"Baking Supply","Casa Bamvina Cocoa Powder (200g)","Casa Bamvina Cocoa Powder (200g)",56,34,pack,1904,70,0,0,yes,Available
39011558,"Casa Milk Tea","Casa Hokkaido (1kgx20packs)","Casa Hokkaido (1kgx20packs)",321.90476190476,5,piece,1609.5238095238,430,0,0,yes,Available
39960245,"Casa Milk Tea","Casa Matcha (1kgx20packs)","Casa Matcha (1kgx20packs)",310.38961038961,25,piece,7759.7402597403,430,0,0,yes,Available
82785499,"Casa Milk Tea","Casa Okinawa (1kgx20packs)","Casa Okinawa (1kgx20packs)",309.69813969814,1,piece,309.69813969814,430,0,0,yes,Available
23629011,Stocks,"Casa Wintermelon w/ Brown Sugar Powder 1kg","Casa Wintermelon w/ Brown Sugar Powder 1kg",310,9,piece,2790,360,0,0,yes,Available
72607749,Stocks,"Catcher Gourmet Caramel Sauce 2L","Catcher Gourmet Caramel Sauce 2L",806.55,7,piece,5645.85,1045,0,0,yes,Available
068409910,Stocks,"Catcher Gourmet Chocolate Sauce 2L","Catcher Gourmet Chocolate Sauce 2L",842.24,11,piece,9264.64,1045,0,0,yes,Available
47960398,Stocks,"Catcher Gourmet Matcha Flavor Sauce 2L","Catcher Gourmet Matcha Flavor Sauce 2L",788.02393939394,10,piece,7880.2393939394,1045,0,0,yes,Available
81058686,Stocks,"Catcher Gourmet White Chocolate Sauce 2L","Catcher Gourmet White Chocolate Sauce 2L",940,1,piece,940,1045,0,0,yes,Available
848972889,CDO,"CDO Mini Burger Patty (10packs x 230g)","CDO Mini Burger Patty (10packs x 230g)",39.69,,each,0,40.5,0,0,yes,Available
1265807853,CDO,"CDO- Regular Burger Patty ( 6 x216g )","CDO Regular Burger Patty ( 6 x216g )",41,,each,0,50,0,0,yes,Available
871103942,CDO,"CDO- Sesame Premium Hotdog Jumbo (1kg x 9)","CDO- Sesame Premium Hotdog Jumbo (1kg x 9)",134.03466,,each,0,145,0,0,yes,Available
4806533920367,Juices,"Chemag Apple Drink Mix (1kgx25)","Chemag Apple Drink Mix (1kg)",204,0,piece,0,310,0,0,yes,Available
4806533920114,Juices,"Chemag Blue Lemonade Drink MIx(1kgx25)","Chemag Blue Lemonade Drink Mix (1kg)",227.0317494949,-261,piece,0,310,0,0,yes,Available
27479933,Juices,"Chemag Cucumber Lemonade(1x25)","Chemag Cucumber Lemonade(1x25)",249.99965836875,-63,piece,0,325,0,0,yes,Available
06522148,Juices,"Chemag Four Seasons Drink Mix (1kgx25)","Chemag Four Seasons Drink Mix (1kg)",195.00120235967,-38,piece,0,310,0,0,yes,Available
4806533920077,Juices,"Chemag Iced Tea Lemon (1kgx25)","Chemag Iced Tea Lemon (1kg)",194.99998158563,-126,piece,0,310,0,0,yes,Available
4806533920381,Juices,"Chemag Mango Iced Tea Drink Mix (1kgx25)","Chemag Mango Iced Tea Drink Mix (1kg)",198,-31,piece,0,310,0,0,yes,Available
4806533920053,Juices,"Chemag Red Tea Raspberry Drink Mix(1kgx25)","Chemag Red Tea Raspberry Drink MIx (1kg)",179.00041242174,-67,piece,0,310,0,0,yes,Available
116557710,"Baking Supply","Chicken floss  (10x1kg)","Chicken floss  (10x1kg)",354.15584415584,0,piece,0,560,0,0,yes,Available
207774838,Equipment,"Chicken Rotisseries (YXD-207)","Chicken Rotisseries (YXD-207)",0,,each,0,0,0,0,yes,Available
28918980,"Hotdog &amp; Patties","Chili Con Carne (Frozen-1kg)","Chili Con Carne (Frozen-1kg)",0,0,each,0,60,0,0,no,Available
604487012,Stocks,"Chili Flakes (Homemade) 200g","Chili Flakes (Homemade) 200g",50,0,each,0,85,0,0,yes,Available
1210299478,Spices/Herbs,"Chili Powder (1kg)","Chili Powder (1kg)",470,,each,0,565,0,0,yes,Available
444830143,Spices/Herbs,"Chili Powder (Homemade) 200g","Chili Powder (Homemade) 200g",50,0,each,0,85,0,0,yes,Available
636699543,Spices/Herbs,"Chili Powder Deggi Mirch","Chili Powder Deggi Mirch",97.5,,each,0,130,0,0,yes,Available
29515349,Stocks,"Chocolate droplets SSS (1csx5packs)","Chocolate droplets small semi sweet  (1csx5packs)",176.3,,piece,0,0,0,0,yes,Available
1159731428,Equipment,"Chocolate Fountain (40cm)","Chocolate Fountain (40cm)",1000,3,each,3000,1450,0,0,yes,Available
454509969,Premixes,"Cinnamon Bark","Cinnamon Bark",45,,each,0,60,0,0,yes,Available
74466373,"Giffard Syrup","Citrus Fruit Green Tea (750ml)","Citrus Fruit Green Tea (750ml)",0,,each,0,453,0,0,yes,Available
27322697,"Packaging &amp; Containers","Clam Shell Loaf PHC8 Big",,10.8,-77,piece,0,15,0,0,yes,Available
555123920,"Microwavables Container","Clam Shell OPL 5H","Clam Shell OPL 5H",3.8123456790123,0,each,0,8,0,0,yes,Available
104791137,"Microwavables Container","Clam Shell OPL 6","Clam Shell OPL 6",9.9,0,each,0,12,0,0,yes,Available
75478919,"Packaging &amp; Containers","Clam Shell- Loaf PHC5 Small",,9,149,piece,1341,12,0,0,yes,Available
56673167,"Packaging &amp; Containers","Clam Shell- OPL 400","Clam Shell- OPL 400",12.25,0,each,0,15,0,0,yes,Available
123456,"Milk Tea Equipments/Supplies","Clear Measuring Pitcher (1000ml)","Clear Measuring Pitcher (1000ml)",92,3,piece,276,145,0,0,yes,Available
403299275,"Packaging &amp; Containers","Clearview Ensaymada Box","Clearview Ensaymada Box",0,,each,0,0,0,0,no,Available
1222268722,"Packaging &amp; Containers","Clearview Hamburger Box","Clearview Hamburger Box",0,,each,0,0,0,0,no,Available
